daughter	day
ladle	luwag
swallow	lamoy
ignorant	igno
come across	kaplag
disturb	tugaw
strong	lig-on
world	kalibotan
cause	hinungdan
clarity	katin-awan
performance	pasundayag
by chance	sulagma
youth	kabatan-onan
mosquito	namok
cicada	gangis
aphid	piyangaw
aphid	tiyangaw
woolly aphid	dugosdugos
spider	tambayawan
powderpost beetle	agay-ay
katydid	mangloy
locust	dulon
bark beetle	bulod
room	lawak
waist	hawak
writer	tigsuwat
letter	suwat
knee pit	lukonlukon
area	dapidapi
paradise	paraiso
heel	tikod
pit of the stomach	kutokuto
force	lugos
successful	malamposon
definition	depinisyon
act	destabilisasyon
give	hatag
complete	kompleto
list	listahan
place	listahanan
submit	sumiter
taclobo	taklobo
candied coconut meat	bukayo
dry	bukarilyo
snack	pinasugbo
snack	ampaw
biscuit	galyeta
rice cake	puto maya
steamed cassava cake	puto balanghoy
absolve	abswelto
toasted stale bread	biskotso
cake	polboron
ginger	luy-a
long	sili espada
cultivar	kulikot
Capsicum annuum	atsal
radish	labanos
plant species	mustasa
leek	sibuyas dahonan
Momordica charantia	paliya
Lagenaria siceraria	bantiyong
Lagenaria siceraria	upo
Lagenaria siceraria	tambaliyong
Job's tears	adlay
bamboo shoot	dabong
carrot	sanahorya
edible tuberous root	singkamas
radish	rabanos
lemongrass	tangad
lemongrass	tanglad
vine	ungkog
vine	unkog
Piper nigrum	malisa
mushroom	uhong
Draco	hambubukad
Draco	tambubukad
north	amihanan
south	habagatan
west	kasadpan
horizon	subangan
horizon	sidlakan
horizon	kalundan
zenith	hawin
zenith	tutok
nadir	ubos
nadir	tungod
jocote	siniguylas
jocote	sinaguylas
jocote	siriguylas
continent	kanaypan
archipelago	kapupud-an
isthmus	katarman
peninsula	dawis
land	lawis
district	purok
barangay	baryo
small village	sityo
kerosene lamp	gasera
bring	kipi
second	gutling
minute	gutlo
hour	takna
week	pitlaw
decade	napuloan
century	gatosan
time	adlawan
grandfather	uyong
grandmother	uyang
chatty	tabian
muggy	alangaang
weather	panahon
frequent complaints	reklamador
tattler	sumbongero
cockfighter	sabongero
drug addict	manuyopay
boast	hambogero
abrupt	suplado
gwapa	gwapo
water meter	kwentador
needle	dagom
safety pin	alpiril
teaspoon	kutsarita
ecotourism	ekoturismo
fiddler crab	agukoy
fiddler crab	amimihig
fiddler crab	kaliskalis
constellation	kalalaw
room	kasilyas
defecate	kalibangan
outhouse	pansayan
insolently meddlesome	atribido
veteran	beterano
mischievous	bilyako
talks	pagarpar
nurse	nars
daughter	senyorita
son	senyorito
don't	ayaw
begin	sugod
beginning	sinugdanan
dig	kawot
deliver	hatod
brought	gihatod
accompanied	hinatod
hold	gunit
skilled	hanas
mutual assistance	tinabangay
rented	inabangan
areca palm	buyo
tooth	ngipon
refuse	linabay
attention seeker	patagad
light	painit
refreshing	hayahay
beautiful	gwapoha
stupid	bugoa
stupid	binugo
biracial	mestiso
cocktail	mestisa
stupid	estupido
crazy	amaw
tadpole	pitopito
planktonic crustaceans	dapna
sentimental	exag
young woman	dalaginding
heckler	suplador
slant-eyed	tsinito
cartoon	kiningkoy
delightful	kingkoy
industry	industriya
crazy	binuang
greedy	hinangol
deaf	binungol
mute	inamang
untidy	hinugawan
coward	tinalawan
cowardice	talawan
back out	talaw
spur	buwang
lewd	binastos
coercive	pinugos
forcible	linugos
removed	inibot
chopped	hiniwa
stolen	kinawat
washing	hinugasan
skin	pinanitan
tender	linat-an
boiled	binukalan
fetch	hakot
barrel	hinakot
cut off	pinutol
cut	putol
state	kabuang
appearance	byuti
appearance	kaanyag
appearance	katahom
appearance	kagwapa
appearance	kagwapo
enclosed	tuob
lieutenant	tenyente
watchman	tanod
light bulb	bombilya
outrigger	katig
age	kaedad
person	katupad
enemy	kaaway
battle	pinusilay
opponent	kapinusilay
opponent	kasumbagay
somersault	balintong
ceiling	kisame
Annona reticulata	anonas
dried nasal mucus	kulangot
hold	utong
navel	pusod
stomach	tiyan
pup	pating
face	nawong
face	hitsura
gambler	sugarol
place	sugalan
tile	madyong
male mahjong	madyongero
female mahjong	madyongera
place	madyongan
mahjong tile	petsas
carpenter	panday
carpenter	karpentero
count	kwenta
count	ihap
counted	inihap
counted	maihap
used	sinul-ob
used	ginamit
on loan	hinulaman
borrowed	hinuwaman
borrow	huwam
loan	hulam
sacramental bread	ostiya
communion wafer	hostiya
sacramental bread	kalawat
prick	tusdik
pork sausage	sinudlan
Purgatory	purgatoryo
litany	litaniya
beak	sungo
waling-waling	walingwaling
volunteer	bolunter
loose tooth	hingo
silk	tighulos
clean	hingiki
lick	tilap
wash	hilam-os
buy	palit
seller	pinalit
gift	hinatag
stashed	hinipos
five time	makalima
six	unom
wasp	lapinig
palm frond	lukay
monument	bantayog
Citrullus lanatus	pakwan
spurt	pigsit
crush	pigsat
Vigna radiata	munggos
Corchorus olitorius	saluyot
bark	aw aw
interruption	eskala
inseparable	Teban ug Goliat
person	abogago
foretells	mananag-an
divine	tag-an
tortoise	iyon
maintain	mintinar
feet	tiniil
office	opisina
caller	bolador
religious	prosesyon
computer printer	pinrint
printing	printa
synopsis	minubo
carriage	karosa
barramundi	apahap
behaviour	pagirl
argumentative	palaaway
fond	palakaon
shithead	palaigit
container	kawit
tooth goldwork	pusad
forgetful	bungaw
rope	lubid
brood	liwat
spit	luwa
move	mabaw
deviate	simang
penis	utin
leaves	labong
go out	lahoy
sour	hingaslom
land	kasagingan
land	sagingan
Ipomoea aquatica	tangkongan
land	kalubihan
guava	bayabasan
pineapple	pinyahan
adze	bingkong
dove	salampati
hair	upaw
white	ugis
genitalia	taliba
sting	lupog
money	kwarta
broil	anag
steep slope	bakilid
lip	ngabil
old	karaan
Chinese	wakang
Ptilinopus occipitalis	punay
surname	Canama
unfurl	kayab
budge	kihol
tagalong	kuyog baboy
flashlight	plaslayt
straight	uk-ok
period	kinsena
period	kinsenas
carry	bayong
common purslane	simsim
hand over	duhol
retarded	abno
sound	kahilom
sound	hilom
talking	hilomon
denunciation	birada
higher education	gradohan
confectionery	tsoknat
confectionery	chocnut
gas	palautot
obedient	gahig ilong
deceive	humok og ilong
gummy	lagoson
house sparrow	goryon
sensitive plant	huyahuya
sensitive plant	matulogtulog
sensitive plant	harupay
like	ganahan
slit	luglog
slit	gulgol
bow-legged	bakang
bulging	budlat
organization	ranggo
thin	nipis
Iris	liryo
Amaryllis	amarilyo
periwinkle	tsitsirika
candlenut	lumbang
genus	gladyola
perennial flowering plant	kamya
Moses	Moises
Arabian jasmine	sampagita
fragrant	ilangilang
fragrant	alangilan
ladybug	lidibag
punch buggy	pass bao
marine turtle	pawikan
stop	pugong
four o'clock	alas kwatro
four	kwatro
five	singko
Cucurbita	kalabasang puwa
Lagenaria siceraria	kalabasang puti
weight	timbang
aromatic	turagay
handmaid	alalay
shooting star	buwakaw
coconut crab	sugasuga
tinea versicolor	ap-ap
tinea versicolor	ap-apon
knife	kapol
smack	dapog
chance	tsansa
miscellaneous	saksak sinagol
attitude	kinaiya
catch	sawo
beach	saog
Nycticorax caledonicus	lapay
cacao	kakaw
confusion	libog
lymph node	lusay
swordfish	malasugi
back	likod
vulture	buwitre
freshwater crab	piyo
bedbug	tugho
bedbug	tughok
duck out	humag lamoy, lahoy
walk	lakaw
stroll	suroy
journey	biyahe
tip over	tikwang
tip over	tukwang
knock	tokhang
pour	bundak
chief	hepe
burdened	kargado
laborer	kargador
predisposed	gaan og kamot
sneeze	bahon
pubic region	puklo
superstitious	tinuhoan sa buktot
belief	tinuhoan
scratchmark	kinambrasan
dig	kinawtan
scratchmark	kinawratan
scratchmark	kinawrasan
scratch	kawras
tie	igwalis
scratch	kambras
scratch	kawrat
eldest child	kamaguwangan
pregnant	buros
male	kastrato
amend	amendar
chop	tigbas
cloth	panapton
phlegm	plema
electrical switch	plangka
offspring	palaanak
abundance	mabungahon
undetermined species	marka tuldok
undetermined species	maismais
undetermined species	red devil
limp	kumong
undetermined species	marka uno
undetermined species	marka bungo
spider	kiyodkiyod
blood sport	sabong sa kaka
coward	putig itlog
crab spider	kingking
tastelessly showy	garaon
tastelessly showy	gara-gara
gift	sinugatan
sip broth	higop
filling	palaman
hen	himungaan
gamecock	hiniktan
chained	hinigtan
bind	hikot
Draco	tangkagan
Draco	abubukag
large ear	tangkag
failed	gilangaw
body	pisikal
exhaust pipe	tambutso
loan	inutang
tag	pilitpilit
carnival	karnabal
fair	peryahan
fair	perya
basketball player	basketbolista
fishing line	pasol
pancreas	hagudila
economy	ekonomiya
condensed milk	kondensada
ordinance	ordinansa
colour	lunhaw
cliff	pangpang
financial	pinansyal
friendlike	inamigo
friendly	hingamigo
friendly	mahigalaon
friendly	manggihigalaon
friendly	agboyon
sweetness	katam-is
sweet	tam-is
sweet	matam-is
despair	desperada
principal	prinsipal
urinary bladder	pantog
infant	masuso
advisory	pahimangno
remind	himangno
freshwater giant octopus	mantaga
stay up	puwaw
stay up	pulaw
street market	tyanggi
seldom	talagsa
swelling	butlog
skeleton	kalabera
arrange	hanip
idol	diyos-diyos
idol	ginuo-ginuo
consumer	konsumidor
pencil sharpener	tahal
coast	pantalan
off	palong
off-key	yabag
consumption	konsumo
decision	desisyon
rich	kwartahan
Capsicum	lara
effeminate male homosexual	mahuyang
boyfriend	boypren
nightclub	naytklab
boyfriend	nobyo
words	panitik
stick	tukog
take	baktas
take	bagtas
mind	alimpatakan
sarong	malong
sarong	patadyong
biracial	tisoy
investigator	imbestigador
badge	tsapa
Moringa oleifera	kinamunggayan
mumble	samsam
reader	magbabasa
relief	relibo
investigation	imbestigasyon
compare	komparar
court	husgado
municipalities	kalungsoran
defective	depektoso
gulp	lad-ok
rebar	kabilya
shake	taktak
shake	uyog
old woman	dalagang ulay
client	kliyente
supporter	dumadapig
meeting place	tagboanan
ply	amakan
Romblon	Sibuyan
declare	deklarar
lock	trangka
place	basurahan
disaster	katalagman
calamity	kalamidad
disastrous event	trahedya
churchgoer	manimbahay
undetermined species	marka sero
undetermined species	wantotre
small	kariton
coral vine	kadena de amor
species	cadena de amor
bail	piyansa
squash	pigat
treat	dagmal
accomplice	konsabo
wage	suhol
compensation	suholan
motive	motibo
life	sadya
public prosecutor	piskal
relative	kabanay
abduct	dagit
request	hangyo
come to mind	santop
signed	pirmado
recommend	rekomendar
sinner	makasasala
land	sibsibanan
season	palami
Christmas present	pinaskohan
triangle	trayanggol
gift	rinegalo
musicale	belada
teak	yati
mash	linusak
New Year's Day	Bag-ong Tuig
killing	pagpatay
scene	eksena
corner	eskina
corner	suok
capsize	tikyaob
rescue	luwas
listenership	tigpaminaw
microphone	mikropono
ambition	ambisyon
ambisyosa	ambisyoso
pregnant	mabdos
pregnancy	pagburos
pregnancy	pagmabdos
due	manganakay
collect	kolekta
parish	parokya
administrator	tagdumala
affected	apektado
administrator	tigdumala
smoothing iron	plantsa
laundry	plantsahonon
ironed out	plantsado
wrinkly unironed	gukdonon og plantsa
statue	estatuwa
later	unya
illegitimate child	anak sa liki nga kawayan
illegitimate child	anak sa gawas
crown	undol
quantity	gidaghanon
patient	pasyente
objection	pagsupak
disagree	supak
plant	masetas
passage	agianan
rust	tabagnol
rust	tabagnolon
air	kahanginan
relation	relasyon
world	kadalanan
value	balor
outsider	tagagawas
insider	tagasulod
mountains	tagabukid
coasts	tagadagat
islander	tagaisla
diyes	napulo
describe	deskrayb
ice	batunaw
chin	babaluhon
student	tinun-an
ghost	black lady
fontanelle	hubon
touch	sikmol
invite	imbitar
onioned	sinibuyasan
take	tiway
watering can	legadera
fruit tree	bungahoy
quick	igmat
nuisance	bwisit
stew	lansyaw
well	buyno
kampilans	kampilan
colored clothing	dekolor
inheritance	kabilin
canoe	baruto
race	lumba
runaway	layas
nephling	pag-umangkon
apply	hampol
heat leaves	hawob
adviser	tigtambag
field	kamaisan
field	kahumayan
sugarcane field	katubhan
crude	payag
salary	sweldo
salary	suweldo
fiction	sugilambong
province	lalawigan
January	Ulalong
February	Daghangkahoy
March	Daghangbulan
April	Kiling
May	Himabuyan
June	Kabay
July	Hidapdapon
August	Lubadlubad
September	Kangurulsol
October	Bagyobagyo
November	Panglot nga Diyotay
December	Panglot nga Dako
prince	berong
princess	berorang
Sunday	Ligidligid
Monday	Tigburukad
Tuesday	Dumanson
Wednesday	Dukotdukot
Thursday	Baylobaylo
Friday	Danghos
Saturday	Hingothingot
book	lumponid
art	diyandi
inspiration	diwanag
culture	budaya
story	sugilandong
short story	sugilagming
story	sugilanon
vocabulary	kapulongan
politics	lugaynan
political	lugaynon
ambition	tingusbawan
evolution	anaswagan
couple	magtiayon
Diospyros blancoi	kamagong
frank	prangka
interfere	apilapilon
interfere	apil-apilon
proverb	panultihon
poetic debate genre	balitaw
parlor game	kulililsing hari
concoction	himasmo
nickname	angga
tree	sadugan
put	plastar
forehead	agtang
bato lata	bantay hari
reading material	basahon
dock	dunggo
coast	dunggoanan
Tarzan	Tarsan
briefs	tarsan
figure	balay ni Tarsan
figure	balay ni Tarzan
triangular figure	brip ni Tarsan
triangular figure	brip ni Tarzan
figure	ulo sa Voltes V
figure	ulo ni Voltes V
presentable	panglakaw
at home	pang-uran
washi	papel hapon
boss	agawon
cousin	agaw
sari-sari store	sira-sira store
brave	isog
code-switching	Cefilis
Indian giver	hatag bawi
caroler	manaygonay
caroler	mananaygon
nickname	Timoy
nickname	Iko
nickname	An-an
nickname	Tonton
here	dinhi
there	dinha
there	ngara
there	nganha
front	ngadto
familiar form	titing
familiar form	dodong
male nickname	Dodong
priesthood	pagkapari
priest	kaparian
Church	Simbahan
human	tawhanon
calling	bokasyon
card game	kargaburo
card game	kargadeburo
variant	tsikitsa
monkey	unggoy-unggoy
variant	unggoyunggoy
act	inunggoy
game	slipper game
game	Japanese game
game	tigso
variant	ten twenty
rubber	Chinese garter
rubber	chinese garter
it	lupa langit
wager	ulingay
fly	abli ang Gaisano
illness	kabuhi
rule	tira hago
sledding	padidit
preparation	tinabal
parrotfish	mulmol
hybrid citrus cultivar	pongkan
Chinese	kwakang
Chinese	Insek kwakang baboy tikangkang
limerick	Insek kwakang
address	tsoy
cool	patsoy-tsoy, way lamoy
cool	patsoy-tsoy, walay lamoy
ear	dalunggan
run dry	tilok
esophagus	batikulon
clitoris	giti
ear	dunggan
bone	bukog
ally	kasangga
side	sangga
Visayas	sangka
congkak	sungkaan
anger	pashnea
timely	tayming
fidgety	lihokan
conduct	linihokan
action	kalihokan
move	lihok
step over	lakang
good-looking romantic partner	murag nakadaog sa lotto
ugly romantic partner	murag nasunogan
carry	lukdo
carry	yayong
wedge	sip-it
carry	bitbit
carry	pas-an
sport	besbol
allergen	alerdyi
impetus	enerdyi
family	pamilyado
actor	bold star
melt	lanay
melt	tunaw
cypress	sipres
rice wine	tabad
joist	tabaw
bolo knife	talibong
rule	enter hago
rule	undang dakol
rule	undang dukol
expression	iring gilaygit
undergo	laygit
clothing	sinina
betel nut husk	sipan
winnowing basket	nigo
moonlight	buwanon
pile	floweran
game	tandaytanday
groin	bulog
sled	kangga
bisexual	silahis
fishmonger	lab-asera
fishmonger	lab-asero
basis	basehan
councilor	konsehal
correction fluid	white ink
species	tuloy
advertisement	paganda
game	tag-anay paganda
kiss	halok
kiss	hawok
make out	tsula
pothole	libaong
pothole	libaongon
narra	sagat
concrete perimeter fence	paril
cock	sunoy
hen	binalaki
ledge	tampi
prepare	hikay
sway	kiay
structure	salag
sugar	inasukaran
taste	tinemplahan
hair	opaw
hand-to-mouth	kakha tuka
uterus	kaluha
jaw	apapangig
palate	alingagngag
boisterous	alingogngog
yesterday	gahapon
past	kagahapon
widow	buayahon
cue ball	uyan
takyan kick	bingga
favored	duol sa luwag
coconut	sagbay luwag
hang	sagbay
ill-mannered	walay buot
kite	sapisapi
kite	tabanog
launch	tugpo
crash	hagtos
aquatic	tangkig
outrigger sailboat	paraw
as	isip
tail	ikog sa pagi
mushroom	ihi sa iro
Palm Sunday	Dominggo de Ramos
Ash Wednesday	Miyerkoles sa Badlis
Palm Sunday	Domingo sa Ramos
Palm Sunday	Bendita sa Lukay
Palm Sunday	Domingo sa Lukay
Holy Monday	Lunes Santo
Holy Tuesday	Martes Santo
Holy Wednesday	Miyerkoles Santo
Maundy Thursday	Huwebes Santo
Black Saturday	Sabado de Gloria
Easter	Pasko sa Pagkabanhaw
Easter Sunday	Domingo sa Pagkabanhaw
Easter Sunday	Domingo de Glorya
Roman Catholic Lenten	Visita Iglesia
procession	Sugat
play	senakulo
radio	Siete Palabras
step	buwasot
step	bulasot
moray eel	bakasi
moray eel	indong
cultivar	sili kulikot
Capsicum annuum	sili atsal
mango cultivar	apple mango
homemade variety	ice candy
popsicle	ice drop
lumpia	fresh lumpia
fabricate	tumutumo
Michael	San Miguel
comedian	komedyante
comedy	komedya
urination	bus-aw
children	puros kamaguwangan
illegitimate child	anak sa liking kawayan
liniment	haplas
unwelcome	bwisitor
insert	kulkog
insert	kulitog
meat	adobaw
adobo	humba
ritual	pangasi
Terminalia catappa	talisay
Indian coral tree	dapdap
surname	Carmona
surname	Monroy
cutlery	kubyertos
massage	masahista
Balthazar	Baltazar
respite	hulay
burp	dug-ab
yawn	huy-ab
coconut	lahing
Medellín	Medellin
window	bentana
Chinese	chong koyla
Chinese	tsong koyla
speak of the devil	wala magpalibak
exhausted	kutasan
go	saka-kanaog
period	tingbits
period	tingbitay
period	tingbitay sa iro
tricked	nasulod sa bulsa
trick	gisulod sa bulsa
pornographic	hubo-hubo
global	mondiyal
fun	lingaw
shin	lulod
hole	bungag
hole	lungag
surname	Morillo
hole	bangag
small hours	kadlawon
small hours	kaadlawon
twig	galaw
night	kagabhion
dawn	kabuntagon
baby	luom
pantropical	mangagaw
pantropical	tawatawa
indebted	utangan
Nicolas	Kulas
fetch	sag-ob
Muscicapidae	siloy
never	igputi sa uwak
calendar	kalendaryo
fondness	himarat
what	unswa
ridicule	yagayaga
lymph node	lisay
fried rice	tapsilog
tocino	tosilog
store	tapsilogan
fried rice	silog
ham	hamsilog
longganisa	longsilog
daing	bangsilog
store	silogan
dry	sinangag
nut	sangag
butterflied milkfish	daing
fencing	espadahay
jostle	sinikhanay
province	Maguindanao
left-handed	walhon
affluent	sapian
leafed	dahonan
surname	Rosell
appease	alam-alam
sit	lingkod
pamugasay	pamugas
play	lingaw-lingaw
gambling	pamugasay
crème caramel	leche flan
gambling	pamasin
cook	kosinero
wash rice	kilis
mischievous	badlongon
admonish	badlong
jut out	sikil
jut out	siwil
pea crab	bukto
slippery	liksi
until	hangtod
until	hantod
forever	hangtod sa hangtod
forever	hangtod sa kahangtoran
surname	Castillon
Christopher	Tope
flick	witik
flick	pitik
favorite	kinaham
sari-sari store	walay utang karon, ugma ra
crush	pisat
crush	pislat
Saint Louis	San Luis
press	pislit
perennial	kalabo
fowls	patuka
pervade	kaylap
edifice	edipisyo
government	kagamhanan
suppress	sumpo
capital	Basco
ovary	tagoangkan
bonus item	pakapin
Asiatic pennywort	gotukola
Sogod	Borbon
surname	Montesino
Cebu	Pintados
sedge	tikog
sedge	anahunan
Arabian jasmine	sampaguita
child	singot sa kadlawon
fussy	himili
loosen	hambok
trim	hinguko
fondness	hinambok
vaginal flatulence	butot
surname	Llanos
change	suklianan
smooth	mamords
arrive suddenly	butho
avoid	likay
recital	saysay
outcome	sangpot
boo-boo	yayay
used clothing	ukay-ukay
bought	binayran
prominent buttocks	igwad
stay up	manira sa dalan
rock	buhi nga bato
person	laagan
noisy	sabaan
maintain	mintin
provincial capital	Pili
plan	tinuyo
conveniently accessible	tuyoon
diploid banana cultivar	lakatan
triploid hybrid banana cultivar	latundan
smoke	manigarilyo
message	mensahe
syphilis	sipilis
tamp	sansan
surname	Roble
chase	gukod
weak	Pinal
surname	Sandiego
yaws	puko
rocky	pansil
erect	ugbok
fall headlong	tuwandos
warrior	bagani
close look	sil-ing
Chinese cabbage	pechay
Benjamin	Benben
house fowl	pugad
cycad	pitogo
skirt	palda
ant	mamang
barangay	Catadman
surname	Zanoria
imagine	handuraw
stern	estrikto
daze	buyong
hit	namata
pop music	bisrock
rent	buwanan
strong	huros
low inaudible	hagawhaw
collide	bangga
conversion	hubad
stew	inatayan
recluse	ermitanyo
Penelopides	tariktik
husband	umagad
chin	sulang
cold draft	tun-og
Spilopelia chinensis	tukmo
well-defined	tukib
Pluvialis fulva	tuhil
surname	Costillo
Pinctada maxima	tipay
clay jug	tibod
surname	Frasco
leprosy	sanla
Antolin	Tolin
cave	lungib
cloud	dampog
thorn apple	katsubong
thorn apple	katyubong
Maranta arundinacea	tayubong
sewer tunnel	imburnal
barn	kamalig
Philippine cobra	ibingan
last night	kagabii
surname	Cabal
shipworm	tamasok
shipworm	tamilok
internal organ	sunglotan
apparition	aghoy
strangler fig	balete
million	yukot
blab	yawit
soup bowl	yahong
know-how	alamag
luminescent	amag
share	bahin
grey mullet	banak
stonefish	bantol
magic	barangan
confession	kumpisal
one moment, please	kadyot
force	pikot
stern	ulin
athlete's foot	alipunga
molave	molave
Seventh-day Adventist	Sabadista
wet clothing	hinumod
clothes	humdonon
evil spirit	impakto
dew	yamog
short	pandak
congressman	kongresista
legal age	menor de edad
Chinese New Year	tikoy
photograph	litrato
naked lady	pobreng kahoy
tissue paper	tisyu
taste	tilaw
nunchaku	tsako
top	sanina
fixes	tig-ayo
smoothing iron	utaw
drugstore	botika
namesake	tokayo
Philippine cuckoo-dove	tukwaw
throat	tilaok
turn upside down	kulob
ruthless	sinalbahis
fetch	kawos
fetch	kalos
punishment	ang gaba dili magsaba
wish death	tunglo
wish death	tungo
getter	tigkuha
Viverra tangalunga	singgalong
puppy	tukoy
politics	lugay
pity	luoy
stiff	tuskig
crazy	tiguwang daotan
fermented black beans	tawsho
get along	murag iring ug iro
relic	salirawan
relic	relikyas
bedroom	sibay
ambush	banhig
computer	dagitok
computer	dagitabyan
telephone conversation	teleponokabildo
soulmate	kalagpares
drowsiness	insumniyalak
film	pelikula
box office	takilya
bread roll	bohol
columnist	kolumnista
scientist	siyentipiko
set alight	silab
bony butt	hait og lubot
smack	dakol
hard	gahi
peck	tuhak
province	Batangas
province	Nueva Ecija
venom	kamandag
vine	sagid
barbarian	luog
immigrate	lalin
influenza	trangkaso
bud	pusaw
tap water	tubig-gripo
exposed root	litid
electric fan	dagitungin
surname	Muñez
baby suck	nangayo og manghod
tilapia	tilapya
loving	labing
kawakawa	tulingan
state	pagkaig-agaw
cousins	kaig-agawan
child	pag-umangkon sa pagkaig-agaw
signature	pirma
Bulacan	Bulacan
malediction	maldisyon
perform	suntoy
surname	Apduhan
gall bladder	apdohan
futile	kawang
kilometer	kubong
Boholano	Dagohoy
amatory magic	lumay
venue	buwangan
John Doe	Talpolano
Jane Doe	Talpolana
Nicolas	Kolas
guard	tigbantay
guard	tigbalantay
grin	ngisi
hello	'musta
observation	obserbasyon
drool	duay
push	tulod
small crocodile	balanghitaw
clavicle	balikhaw
steal	kiriwan
cheeky	siaw
woodboring beetle	bukbok
velvet bean	nipay
drool	luay
pen	alad
corncob	pakaw
unintelligent	walay utok
socialism	sosyalismo
surname	Semblante
Mandaue	Mandawe
province	Surigao
given name	Wenceslao
surname	Semense
surname	Yusico
surname	Tangaro
surname	Ancajas
surname	Prias
surname	Villarin
surname	Estrera
surname	Cabalida
surname	Ermac
surname	Lequin
surname	Alimpangog
surname	Limpangog
surname	Boholst
jealousy	abubho
jealousy	pagpangabubho
jealous	mangabubho
jealous	mangabub
surname	Busano
surname	Ambrad
surname	Seno
surname	Osmeña
elephant	gadya
molar tooth	bag-ang
bakery	panaderya
gas station	gasolinahan
smear	muritsing
smear	nagkamuritsing
evergreen	igot
sour	maaslom
market	prutasan
Combretaceae	magtalisay
caudal fin	palispis
haggard	kaga
noun	pungan
morning	buntag
maayo	maayong buntag
barangay	Panacan
tree	kastanyas
butterflied	buwad pinikas
anchovy	buwad bolinaw
inhalation	pagpanigarilyo
inhalation	panigarilyo
advise	tambag
watercock	tapayan
street food	tuslob buwa
lower	tuslob
lower	tuslo
question	pangutana
coconut frond	langkay
high tide	lantong
horizontal	mubo
lake	lanaw
cake	keyk
soap dish	sabonera
knife	pisaw
Excalfactoria chinensis	pitaw
Anthus	pitpit
entrance	ganghaan
come forth	gangha
slap	hapak
bamboo	bagakay
stick	suob
blowout	bloawot
thank you very much	daghang salamat
good afternoon	maayong hapon
grandstand	paugat
talisman	panagang
shield	sagang
thwart	pakgang
exciting	triling
Mercenaria	tuway
incredible	ngilngig
adopt	sagop
clay jar	tadyaw
offering	paghalad
valley	walog
valley	wawog
valley	bangawog
valley	bingawog
surname	Oling
brush	brotsa
bantering	pasiaw
banter	hagwa
money dance	galagala
water	hinumolan
liquid	gihumolan
snarl	singka
snarl	singhag
ambiguity	olark
ambiguity	klaro
shofa	shofo
crumpled	kum-os
fellatio	apuch
homosexual	toyab
work	mangosina
living	tighugas
dishwasher	tighugas og plato
contempt	bayot boang
crazy	boang
billiards	bilyar
big	okad
well hung	okad osol
anger	piskot
evil	banyaga
license	lisensya
surname	Andales
vertical	pataas
sudden	igking
stiff	tikig
Eleusine indica	palagtiki
Eleusine indica	bilabila
treasure	bahandi
swing	tabyog
tanbark	tungog
container	sugong
contribute	dawat limpyo
bud	sawak
attempt	pagsuway
Trogonidae endemic	baguko
songbird	batiwtiw
Campephagidae	bugaongon
silver perch	bugaong
Dicaeidae	bulay-og
splash about	tampisaw
surname	Tajale
surname	Lobitaña
surname	Lamberte
surname	Castañares
surname	Sevilles
surname	Llaguno
surname	Ladiao
surname	Almadin
surname	Reynes
surname	Ygoña
surname	Arranguez
surname	Enjambre
surname	Mojeres
surname	Orlanes
surname	Olofernes
surname	Loquete
surname	Cataraja
surname	Catarata
surname	Brigoli
surname	Genson
surname	Kiamco
surname	Kintanar
surname	Obaob
surname	Oncines
surname	Alce
surname	Aldava
surname	Pag-ong
surname	Torrefranca
surname	Gabilan
surname	Tumulak
surname	Tejana
temporary	temporaryo
modern	kontemporaryo
dim	kulap
Chinese hibiscus	antulanga
Chinese hibiscus	antuwanga
perennial flowering plant	camia
yours	inyo
surname	Comiso
surname	Arcenal
surname	Lequigan
surname	Maquilan
surname	Riveral
surname	Bacus
surname	Jumao-as
surname	Maspiñas
surname	Igot
Saint Peter	San Pedro
periwinkle	kumintang
stigma	labotan
wanted	dakponon
seed coat	kalibkib
dig	kalot
crab	kasag
their	ilang
perennial flowering plant	tangantangan
shield	kalasag
surname	Boloyos
surname	Sobingsobing
gabble	kutab
Bubo philippensis	kuwago
hippo grass	balili
evergreen	tsampaka
evergreen	champaca
unattractive	bati og nawong
unattractive	batig nawong
Philippines	salwag
expression	hesusmaryosep
coconut meat	linubihan
betray	luib
faithless	maluibon
betrayal	pagluib
betrayal	pagpangluib
massacre	masaker
Roberto	Berting
nickname	Timong
Armando	Mando
hell	impiyerno
cut	laslas
slit	hilhil
soot	takuling
league	legwa
zeal	kaikag
embarrassment	kaikog
interest	ikag
surname	Jakosalem
surname	Adarna
Filipino epic	adarna
surname	Maxilom
surname	Soco
surname	Latonio
surname	Lauron
surname	Mayol
surname	Suson
betrayal	pagbudhi
leguminous	balokbalok
leguminous	madre cacao
leguminous	madre de cacao
red	balok
red	bawok
darkening	makaitom
lightening	makaputi
sin	makasala
territory	teritoryo
clumsy	danghag
cut	makasamad
deer	saladong
deer	salarong
nocturnal ruminant	pilandok
mouse	minyat
lumba	lumbaanay
outrace	lumbaan
island	Sugbu
Cebu	Tunga-tungang Kabisay-an
island	Siquijor
Myrtaceae	bubayabas
hunchbacked	baluktot
rub	bag-id
frottage	binag-iray
wild	turok banwa
cave	kuyba
cave	langob
anthill	bungtod
hill	buntod
hillock	bungatod
bay	bahiya
point	banghiligan
slope	banghilig
slope	bangilid
suck	um-om
visit	pagbisita
place	kapuy-an
